#                  w                   f                  df                  f0
#                 um                 mJy                 mJy                 mJy
             2.14981            0.172682          0.00727428            0.167494
             3.59998            0.113062          0.00498988            0.114895
             4.49987           0.0822418          0.00341814           0.0787046
             5.79963           0.0658167          0.00288264           0.0663743
             7.89951           0.0414346            0.001798              0.0414
             15.9956           0.0736304          0.00333265           0.0767361
             23.9883           0.0813688          0.00368799            0.084918
                 100            0.867391            0.119389            0.945279
             159.956             3.43043            0.227034             3.65595
             250.035             3.53911            0.357319             3.92013
             349.945             2.87587            0.411936             3.78966
             500.035             1.95834             2.11728                   0
             1158.78         3.68059e+09         6.65087e+09                   0
                2050          -0.0426297               0.068                   0
              199986         -0.00406376          0.00202245                   0

