#            _j             _f             _df
#
              1         17.702           3.54
              5        907.325        212.582
              6         989.59        107.104
              7        738.629         52.271
              8        726.117         74.145
              9        709.262        112.865
             10        602.819         104.96
             11        552.847        119.527
             12        300.673         72.145
             13        219.621         90.293
